symbol,Name,Score
💨,DASH SYMBOL,24263649
🔵,LARGE BLUE CIRCLE,24170155
🔊,SPEAKER WITH THREE SOUND WAVES,24004306
🐰,RABBIT FACE,23709691
🔗,LINK SYMBOL,23671084
👆,WHITE UP POINTING BACKHAND INDEX,23111528
💣,BOMB,22710423
♨️,HOT SPRINGS,22479102
👼,BABY ANGEL,22420968
📹,VIDEO CAMERA,22216923
♣️,BLACK CLUB SUIT,22115207
🌵,CACTUS,21812845
🔰,JAPANESE SYMBOL FOR BEGINNER,21386703
🍒,CHERRIES,21270451
⭕️,HEAVY LARGE CIRCLE,21054227
💍,RING,20710285
🎼,MUSICAL SCORE,20645891
📱,MOBILE PHONE,20575441
👯,WOMAN WITH BUNNY EARS,20102960
✖️,HEAVY MULTIPLICATION X,20093856
📞,TELEPHONE RECEIVER,20049223
🌱,SEEDLING,19882123
🍓,STRAWBERRY,19337372
🎬,CLAPPER BOARD,19117191
😽,KISSING CAT FACE WITH CLOSED EYES,19052968
👄,MOUTH,18886370
🍆,AUBERGINE,18863924
😦,FROWNING FACE WITH OPEN MOUTH,18525252
🔪,HOCHO,18480218
🔝,TOP WITH UPWARDS ARROW ABOVE,18363638
🐷,PIG FACE,18241167
3️⃣,KEYCAP 3,17877727
♠️,BLACK SPADE SUIT,17740802
💧,DROPLET,17701442
🔔,BELL,17670032
🐻,BEAR FACE,17402997
⏩,BLACK RIGHT-POINTING DOUBLE TRIANGLE,17318848
😸,GRINNING CAT FACE WITH SMILING EYES,17222016
📝,MEMO,17084006
⚓️,ANCHOR,17017395
💏,KISS,16987809
🍷,WINE GLASS,16907072
💬,SPEECH BALLOON,16817588
🐝,HONEYBEE,16783991
♦️,BLACK DIAMOND SUIT,16736707
👫,MAN AND WOMAN HOLDING HANDS,16705917
🎃,JACK-O-LANTERN,16466393
👩,WOMAN,16376366
🐾,PAW PRINTS,16246353
📚,BOOKS,16230249
🍺,BEER MUG,16203021
💵,BANKNOTE WITH DOLLAR SIGN,16168310
👿,IMP,15980701
🙉,HEAR-NO-EVIL MONKEY,15904771
🐍,SNAKE,15896539
☔️,UMBRELLA WITH RAIN DROPS,15880007
🇫🇷,REGIONAL INDICATOR SYMBOL LETTERS FR,15689172
